ID,Review,Title,Rating,Date
Graham,"i love these. the sound is well balanced. bass isn't to much which is how i like it, the mids are clear and balanced and treble not overpowering. the design, feel, and comfort is a pure treat to wear on your head. i have the sony xm5 and these match the sony for me. plus they are slightly cheaper mind you i got my xm5s free for buying the new sony xperia. i personally would recommend these to anyone that want them for everyday use either for music, movies and podcasts. the anc works very well. battery longevity is fantastic",the sound,5.0,02 10 2023
Marie2015,"these headphones might be expensive but are so super comfortable that they are constantly on my head day and night. the audio playback is not tinny sounding at all and neither is it too heavy on the base, but just right for my delicate ears also the battery life is really good before having to charge again. i would thoroughly recommend these  headphones.",headphones wireless,5.0,10 10 2023
Amazon Customer,"the sound quality is really good. however noise cancelling leaves a lot to be desired i feel and the sennheiser app is not great. the materials after a year started unsticking and ungluing and i feel like the headphones dont have much left which is highly dissapointing considering how expensive they are.appearance wise they are good, fit perfectly, good comfort. i just really wish they were built to last longer... i would not have not chosen these had a i known it would have started to come apart so soon",a year later and the materials seems to be unsticking,3.0,25 09 2023
Mark.,"quality packaging. decent build. slippery smooth. easy to set up....... but!i don't know what i was expecting from £300 headphones when i have alresdy had xm4s, mt50x, and a pair of soundcore q30s ( which were an absolute bargain and for me sounded better that the sonys) but the sound is disappointing. i can hear all the details, the instruments, but the voice is muffled, not to bad but as though they are singing through a towel. maybe this will change with some use. but first impressions..... dissatisfied, disappointed. but definitely more bass weight that the xm4s £300. absolutely not as clear as the soundcore q30s (£60). **update. returned. don't understand what all the fuss is about especially for £300.",returned.,4.0,20 05 2023
Jeremy,"i had given away my momentum 2's and bought these as replacements.  they have better features, the sound is great and they were a bit cheaper.  very happy customer.",great sound,5.0,03 10 2023
SteffAna,"i’m so conflicted by these headphones. the sound is amazing and they have a great sound stage for closed back headphones. this is sadly let down by the software, in particular the anc which causes a hissing and buzzing sound in my left ear that sometimes gets so loud it’s almost painful. this can, of course, be avoided through not using the app - which isn’t needed as they are near perfect and balanced for me out of the box.i’ve listened to a few different styles out the box but my main music style is metal. one of my go to songs for headphone testing is nothing else matters, and listening to this song on these headphones takes me back to when i first saw metallica live (well, as closed to this as wireless closed back headphones can i suppose).i also bought the px7 s2’s and while i really wanted to like those, they don’t really make me feel anything when listening with them. i’m not sure if it has to do with the mids or sound stage as, while they’re great headphones, they seem to have something missing that i can’t quite put my finger on.i let my boyfriend, who mainly listens to hip hop, try both of these out. when i played nothing else matters on these he literally closed his eyes and it was like he was transported somewhere else lol.the conflict comes in to where i’d expect headphones of this price to function as expected, vs does the sound and feeling these produce matter if i don’t necessarily need to use the app anyway. i believe sennheiser are working on an update and fix but i honestly am not holding my breath.i’m going to explore some wired headphones and would probably recommend the same to anyone who doesn’t need the convenience of bluetooth. all in all, if you are considering buying these against one of the other popular cans at this price point you’d have to decide what is most important to you - if it’s sound quality then 100% get these if you can live without the app. if it’s software support and anc then you’ll sadly be disappointed with these.",so conflicted,3.0,17 02 2023
Kyle,"i had the samsung buds live which i really enjoyed and i still do use them. but i was told by ent that i should stop using them and use over ears as they believed in ears wasn't helping my issues. i asked around, did a bit of research and settled on these instead of the other good option of sony. this is probably going to sound odd but these things are addictive, they sound so good that sometimes i just like laying in the dark and listening to some music. being honest with you i can't tell you anything from a technical standpoint, i'm not an audio technophile though i do like quality audio.here is what i can tell you.the noise cancelling is very good, i can't hear the car even when sitting at the back. it drowns out conversations. i've yet to find something it doesn't get rid of but i have only had this a month and two weeks. i may edited this at a later date.the battery life i love. the buds live had forty hours which i was very happy with but having an extra twenty to play with is just lovely. right now i'm having to charge them around once a week but i suspect if you were to use these for half your working day then you'd probably be looking at twice/three times a week which being honest i think is great.these feel great on the head, i don't get any pressure on the head and i don't feel like these pull. they're in my opinion quite light so sit nicely. one thing i don't like a tiny bit is that the extending an retracting the headphones is a little bit stiff if you're not getting the angle quite right which makes adjusting them on your head sometimes a little bit annoying. this isn't an issue if you remove them to do it.the app that you can download as many complaints about the software, i've only used it the once so can't really say anything. what i can say is that i'm happy with the default settings. voices are crisp and music sounds great. when i can be bothered i might play around with the settings and create some modes. there is a youtube video showing this off in a comparison video between this and the sony and demonstrates the differences in settings allowing you to create better vocals if that's primarily the feature of your songs or more bass if you're into heavier bass featured music.",personally i'm impressed.,5.0,06 02 2023
Paul,"had this for three weeks now. it is a great sound across the range and the noise cancellation is stupendous. but then having worked fine, it stopped connecting to the audio. i seem to have fixed it now but it took hours of trial and error. on the way i have had two firmware upgrades, which tells me they launched it prematurely. each one takes at least 30 minutes and each has failed once before succeeding. i had to do a factory reset and start again when nothing else seemed to work. the problem is that there is just one button on the headphones and you have to try to work out what it's doing from the app. except it doesn't always tell you. and the instructions are less than optimal. the headphones give various tones and beeps and voice messages but they are often opaque. just hope they settle down now but i shouldn't have to go through this. ps i note other users have had similar problems to me and some report turning off a couple of the fancy features solves the connection issues. these are the auto on-head detection and auto-on-off.","great sound, flawed control and app",4.0,24 09 2022
Darren Thayer,i have utilised goldilocks and the bear army's!for example apple headphones 12 months then not for me. sonys headphones 5 years then not for me. bose 6 years then not for me. and on it went finally a couple of years brought sennheiser headphones used for 6 months stopped for 12 months then used for 3 months and decided these will do so brought this pair and adequate they'll do.( 50 plus wireless headphones before these wouldn't do),terrible news people,5.0,09 08 2023
Dai English,"headphones, exceptional sound quality. you won’t be disappointed. put my bose headphones in the bin 10 out of 10 for the money",outstanding headphones,5.0,14 09 2023
AK,"overall, these are decent headphone. for the price i wish i had gone with jbl. my biggest complaint is the bluetooth pairing. i consistently have trouble pairing when switching between my phone and laptop, sometimes the headphones won't connect to anything at all, and one time whenthey wouldn't connect i couldn't even reset them. so i couldn't use them for about a week until they just decided to begin pairing again. these also won't age well. the ear-cushion isn't replaceable (some over-ear headphones have removable and replaceable cushions), and i've already started to notice the material is degrading. so, once the cushions go , i assume i'll have to replace the entire product. the touch-controls are also a bit of a pain. because they're on the right ear, pretty much anytime you adjust or remove/put on the headphones it initiates a command. so the volume, noise cancelation, etc. is constantly being changed.they're comfortable, and it's nice to be able to control sound output via the app, but i wouldn't buy these again given the price, how non-user-friendly they are, and how mid the sound quality is.","not worth the price. difficult to use, ok sound quality",3.0,17 01 2023
Stephen,amazing set of headphones work well with high resolution player cannot fault them.best vocals i have heard on a set of bluetooth headphones.just wish i had bought them sooner,sennheiser momentum 4,5.0,02 09 2023
Noel Setterington,far better than what i've had before sound comfortable and design,jesus is lord,5.0,22 09 2023
Stephen Tallentire,bought these to replace my bose qc and think the sound quality is far superior and find them more comfortable,great,5.0,07 09 2023
Stan464,"out of the gate. they are sturdy, rugged but not super heavy (if that's a consideration). albeit, barr the headband. they don't look what they cost. but i'm somewhat glad for 2 reasons.1) less of a thief magnet. 2) the money went into features, extras and sound quality.pros:- good highs- good mids- good lows. (more to add later)- frequency separation is fantastic (no muddled muddy sound)- auto on/off feature.- auto pause feature.- interesting eq builder.- hard compact case.cons:- as a bass head, i like/prefer my bass on music that it make sense on, sadly a little bass heavy on tracks it shouldn't be. (occasionally) - (even with flat eq)- little boring looking, but that's low importance.- no ldac/ldhc? aptx (aptx adaptive).- pause feature seems to be for right ear/hand only (from what i can tell - not an issue for me as i'm right handed).-",well rounded set!,5.0,02 05 2023
Simon James Cook,"worth every penny! the noise cancelling is brilliant especially when i’m in the gym. they’re comfortable, loud and well build, battery is phenomenal and the app is way easier to use than b&o. nice quality case too, well worth it. 👍🏻💯",they’re amazing,5.0,15 08 2023
Will Lakeman,"i have been a loyal user of sennheiser headphones since the 90s, and this is the third pair of momentum ones i have owned in addition to dj headphones, studio headphones and earbuds. i am beyond disappointed by the user experience of these and will think twice about ever buying a sennheiser bluetooth product. i am required to reconnect them to bluetooth up to several times a day (by turning them off and on again) and there appears to be no reliable trigger for them switching themselves on or off automatically.sometimes they turn on (in their case) when they are in my work bag, or because my car moves. sometimes however i move one cup off my ear to speak to somebody and they turn off completely, or won't stop playing music and i have to fumble for my phone.the touch panel is also unreliable. sometimes it is activated by my collar or scarf, sometimes it totally ignores my finger. unfortunately if you do disable the automatic on/off feature the bluetooth problems become worse, particularly when attempting to use the controller app, which itself is annoying and sometimes doesn't work. the momentum 2 had a little rocker, that did every important job without issue, including turning the headphones on and off. in the name of convenience we have a product so annoying it has made me consider using another brand.i will however say that, when working, the sound quality is excellent, as is the battery life. the noise cancellation also seems pretty good.",constantly disconnects from bluetooth and touch panel control is infuriating,2.0,12 03 2023
undedjed,i have had these for about a week now and so far i think that they are outstanding. i was upgrading from the sony wh1000-xm3. i also tested out the sony wh1000hxm5 and the bowers and wilkins px7 s2 and i returned both of these and kept the momentum 4s. i found them the most comfortable (the bowers and wilkins clamped too tight). the battery life is ridiculous. the touch controls work well as does the on head detection (this was really bad on the px7 s2 and sometimes they would randomly pause when i turned my head). the anc is probably not as good as the px7 s2 and definitely weaker than the sony's but it's good enough for me not to notice other sounds when listening to music. but the main trump card is the sound. it's leagues ahead of the sony's with a wide open soundstage (and i have been streaming tidal masters using ldac and aptx hd). songs i've listened to for years sound amazing with great instrument separation. the px7 s2 also sound amazing albeit with a narrower more focussed sound and less pronounced highs and it was hard to decide between these and the m4s. however the px7 s2 cost £50 more and as an overall package the momentum 4s won out. lets see if i develop any issues going forward but no regrets so far.,amazing headphones,5.0,21 12 2022
Vinod Pillai,"this is a great pair of headphones.the design, the sound quality and the comfort is top notch.the let is in the area that most manufacturers seem to be going towards but no one seems to rectifying it - the touch controls! i do wish they had actual physical buttons, so much better to use in winter with gloves on too which is usually a let down in touch implemented devices!the bluetooth multi point implementation is also not done as well as some of the others. i’ve had to occasionally unpair other devices or temporarily disable bluetooth in one to connect to the other.the third let down is in the area of the max-volume: this is surprising low compared to some of the others and the app allows for very limited control and none that makes the use of the device stand out at all.i love the brand and i hope they’ll fix this in the next version.",would have been perfect if…,3.0,06 12 2022
cjase2012,"battery life is excellent, comes with required wires. sound quality is very good, much better than a previous set of sennheiser i owned, which were much cheaper.issues with bluetooth means it cannot be relied on, as it drops out here and there. if using at work that causes problems with meetings. perhaps this is when you have pairings to multiple devices but it is an annoying problem.overall a slick product, but the gesture controls although quite useful leave me feeling cold. if reclining in a chair, they are easy to knock which stops music playing, for example.overall a good product, but focused too much on style and marketing rather than usability.","great headphones, some usability issues",4.0,03 11 2022
LEE,"after reviewing multiple choices of headphones from sony,bose,bang & olufsen i decided to give the moment 4 a shot.build wise they look very 2021/22 (plain with no frills) i'm guessing to keep with the current trend like sony and bose.sound and comfort wise these were excellent and the sound stage was great but for £300 you would expect them to beunfortunately that's where the good points end.the main problem i had was the software. they worked well for about 2 days then i tried to turn them off and got no audio beep to say they were off???? then eventually after several attempts to turn them off the eventually did.went to bed and then the next morning went to turn them on for my daily walk and again no audio beep to say they were on and no voice to say connected 🤷checked the bluetooth on my phone and they were connected but when i pressed play i got no sound at all.but if i pressed the power button on the headphones to summon google it worked but i couldt hear herso i then tried to turn them off and again they wouldn't turn off.so i went into the app to do a factory reset which actually worked and stored the headphones out..... great 😃that was until the next day when i went to use them again.and the same frustrating thing happened again 😡after looking online for help that's where i discovered i wasnt alone. i found hundreds of threads on reddit complaining of exactly the same thing.sadly that's when i decided to return these in exchange for the sony xm5for a £300 headset these problems should be ironed out in the initial testing and i know that a software update in the future will most likely fix these problems but i don't want to sit with a pair of headphones that don't work until this time.but a special mention to amazon because they are by far the best company on the planet for no hassle returns and exchanges..i'm actually sitting here writing this review with my replacement xm5 headphones on less than 24 hours after asking for an exchange.and i still have to send back the momentum 4's lol5 star service as always amazon 🔥",great sounding headphones sadly let down by poor software,2.0,11 09 2022
Amazon Customer,"i bought the momentum 4 after having owned a momentum 3.generally, these are good headphones with quite good sound quality, noise cancellation and and an app to control all the features.following are the challenges that i've found:1. noise cancellation can only be controlled through the app and there is no button or dial (in similiar to the b&o h95 which has a cool dial for controlling the noise cancellation.2. also very annoyingly sen had removed all buttons and there is merely one button to control everything:  power up, pairing, power down - it would have been much better having a dedicated button for on/off and one for pairing at least as you have to otherwise go through long press cycles to get to what you need. so for instance if i want to pair and it's already on, i will have to press long - get it switched off, press long again - get it powered on and continue pressing just for it to get to pairing mode.3. support for multiple paired devices is not great - i've found that if i have more than 2 devices with bluetooth on and i'm trying to connect to a previously paired 3rd device, it's not going to work and i literally have to either switch off bluetooth on the other pair devices, just in order for it to connect to the 3rd device or go through the full pairing process to connect to it.4. equalising is not great - it's based on only 3 main frequencies and when increasing then other frequencies are decreased.5. reset - the only way to supposedly reset is press the single button for over 30 secs but then it's not always working5. reliability - for me that's a big disappointment - my momentum 4 headphones died completely just 2 months after i've purchased it. i was shocked. initially even when it was paired and connected to devices i couldn't hear anything not even it's on voice commands, then i tried to turn it off, but it would never get turned on again. tried to reset but again even when pressing reset for over 30 secs, the only things was a red light flashing once, but reset wasn't working. had the headphones have an on/off button it might not have happened, but that's what happens when you're depending on one button to do everything and then it won't power app again.6. and following all of that my 2nd pair (i bought 3 of these unfortunately for multiple family members) has the same fault. it won't power on again. try to reset pressing the only multi function button and you'll get a blink of a red light after 30 seconds but that's it. won't turn on anymore.i think senheizer reliability with those headphones had dropped to literally zero. paying 300 pounds for a supposed high quality headphones just for them to completely die after a few months is really frustrating.and if it died on you after a few good months you can't even return it and you can only get it sent for repair and you'll have to wait for weeks over weeks with no headphones.stay away from these!",disappointing reliability and control functionality is not best,1.0,20 12 2022
Robert Sutcliffe,"the sound and noise cancellation are great and the design is not special but also not ugly. the main issue i have with these headphones is the inconsistent software user experience. sometimes it connects, and sometimes it doesn't. sometimes it auto pauses, sometimes it doesn't. sometimes it auto powers off and sometimes not. often i've put them on in the morning the battery is dead because they must have decided to stay on all night. often when i put them on it will play spotify when i'm currently watching a youtube video. i'm having to switch off all the smart features because they are kind of dumb. you don't really get a sense of what the power button does. does it switch on or off the headphones? sometimes it does. it just feels like i own an unruly child and not a set of headphones. there have been multiple firmware updates, none of which seem to make these rock solid from a user experience point of view. hoping they sort this out.",great headphones let down by inconsistent software functionality,3.0,03 10 2022
Daniel Kiss,"it is a gread headphone. comrfortable and has amazing sound with a good battery life.however joinong to device to device is a nightmare. if you take of your headphone for a second it is automaticly go sleep, but when you put it back it does not connect to the last paired device and it will not connect for a while... i cannot find word how annoying this headphone can be.i really hope they will fix this as soon as possible.",great headphone- amazing sound - software issues,3.0,10 04 2023
pingufreddy,"the bluetooth sound is very good.  however, its not great; nowhere near the classic sennheiser 600, 650's.  weirdly, the line-in connection (i.e. the wire one) is just awful, i mean really bad.  that's unfortunate as a big use for these is on a flight where you must use the corded connection.  these are just bad in that regard.another complaint; the bluetooth connection doesn't end when you take off/turn off the headset.  your phone is still paired to the headset and all the sounds-phone ring, clicks when typing, alerts go to the unused headphones.  this is not rocket science: apple air bud pros have done it properly for years.overall, i found this set of phones to be unlike sennheiser.  not at all german; much more like a quick knock off from parts unknown.  this may be a good product one day but it is not now an needs a lot of work.  dissapointing.",very good bluetooth; lousy line in and annoying software. un-german,3.0,17 10 2022
W. L. Walker,"surprised to read some of the negative reviews on here, particularly focused on connectivity and the sennheiser app. i've had no issues with either, so i suppose these may have been fixed with firmware updates.the sound quality of the momentum 4's is really impressive and that was the most important factor in making my purchase. noise cancelling is not quite to the level of the sony flagships, but still good. battery life is incredible!overall, really pleased with the momentum 4's and would highly recommend.",impressive sound quality,5.0,18 06 2023
